symbol,expiry_date,strike,option_type,premium_t,openInterest,changeinOpenInterest,totalTradedVolume,date_t,ttm_days,synthetic_flag,valid_horizon,date_t_dt,expiry_date_dt,S_t,S_T,ret_1d,ret_5d,rv_10d,rv_20d,iv_est_t,delta,gamma,theta,vega,rho,iv_converged,cost_bps,payoff_T,PnL,ROI,POP_label,label_status,ranking_score,portfolio_date,position_rank,position_weight
NIFTY,2025-08-28,23150.0,PE,8.7,27150,4800,324,2025-08-14,14,0,1,2025-08-14,2025-08-28,24631.30078125,,0.00048543816407109475,,,,0.17217994714347132,-0.027113680726840898,7.53341086218975e-05,-718.080558368117,3.0163847073217647,-0.2593193222969785,True,60.0,,,,,pending,1.0,2025-08-14,1,0.05
NIFTY,2025-08-21,26850.0,PE,2187.9,225,0,0,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.1812510838901838,-0.9996361116220133,2.1415704098634765e-06,-1629.9564193987842,0.0451331328495432,-5.138170133079485,True,60.0,,,,,pending,1.0,2025-08-14,2,0.05
NIFTY,2025-08-21,26800.0,PE,2119.85,5700,5475,76,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.06780524112887215,-1.0,1.5189029070121848e-20,-1606.1520277851864,1.197500734874763e-16,-5.130305359113075,True,60.0,,,,,pending,1.0,2025-08-14,3,0.05
NIFTY,2025-08-21,26000.0,PE,1332.95,63075,28575,439,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.04690671199751423,-0.9999999999999998,9.59481814229629e-18,-1558.2071911348883,5.233042352687586e-14,-4.97716191555746,True,60.0,,,,,pending,1.0,2025-08-14,4,0.05
NIFTY,2025-08-21,25200.0,PE,548.1,161025,65025,1756,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.09920038211781969,-0.9419690428400136,0.00034306177828050675,-2449.1045625627057,3.9570194966554326,-4.551681279145631,True,60.0,,,,,pending,1.0,2025-08-14,5,0.05
NIFTY,2025-08-21,24900.0,PE,289.7,523125,294825,18833,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.10066888817432401,-0.7546024408119358,0.0009165914410006638,-3950.3981229789097,10.728860048821748,-3.6176806081234036,True,60.0,,,,,pending,1.0,2025-08-14,6,0.05
NIFTY,2025-08-21,24450.0,PE,65.0,835950,339000,76926,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.10816028586121955,-0.28174128049869096,0.000915454477438747,-3669.0353504904147,11.51296250055726,-1.3424389163335153,True,60.0,,,,,pending,1.0,2025-08-14,7,0.05
NIFTY,2025-08-21,24350.0,PE,44.75,773025,382125,63758,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.11233187098297963,-0.20601258702565634,0.0007439379224430743,-3154.801500533827,9.716776212811794,-0.9810746341619171,True,60.0,,,,,pending,1.0,2025-08-14,8,0.05
NIFTY,2025-08-21,24200.0,PE,26.55,2196825,574125,105953,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.12067784093293167,-0.12827373468478148,0.0005093416821315194,-2441.303109342921,7.1469255878508395,-0.6106146690482988,True,60.0,,,,,pending,1.0,2025-08-14,9,0.05
NIFTY,2025-08-21,24150.0,PE,22.45,452475,168075,37016,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.12362787001482245,-0.10957990839551279,0.0004448254112572999,-2225.6650516115346,6.394233424556969,-0.5215831268918744,True,60.0,,,,,pending,1.0,2025-08-14,10,0.05
NIFTY,2025-08-21,23500.0,PE,4.55,3829425,2026275,101983,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.1718766897369797,-0.02086333290968284,8.562559002180975e-05,-798.4365549149113,1.7112090502168957,-0.09935895041329626,True,60.0,,,,,pending,1.0,2025-08-14,11,0.05
NIFTY,2025-08-21,22850.0,PE,1.95,43875,17625,1562,2025-08-14,7,0,1,2025-08-14,2025-08-21,24631.30078125,,0.00048543816407109475,,,,0.22803615079484116,-0.007547435415090323,2.6781335928980826e-05,-433.7299656086847,0.7100982612028709,-0.03600196427849955,True,60.0,,,,,pending,1.0,2025-08-14,12,0.05
NIFTY,2030-06-25,22000.0,CE,8710.1,0,0,0,2025-08-14,1776,0,1,2025-08-14,2030-06-25,24631.30078125,,0.00048543816407109475,,,,0.1678545608827728,0.899465219598492,1.932488020211903e-05,-971.862758071407,95.69238712847162,653.7479407717565,True,60.0,,,,,pending,1.0,2025-08-14,13,0.05
NIFTY,2028-12-26,29000.0,CE,3358.6,0,0,0,2025-08-14,1230,0,1,2025-08-14,2028-12-26,24631.30078125,,0.00048543816407109475,,,,0.1626293201097309,0.6099341955014971,5.2197005604019664e-05,-1118.6755854234896,173.43391104868323,392.82187526476133,True,60.0,,,,,pending,1.0,2025-08-14,14,0.05
NIFTY,2028-12-26,21000.0,CE,7843.0,0,0,0,2025-08-14,1230,0,1,2025-08-14,2028-12-26,24631.30078125,,0.00048543816407109475,,,,0.1675753633929121,0.9081528769451559,2.1764649677435202e-05,-1056.9623747822686,74.51632582536752,489.17091047807475,True,60.0,,,,,pending,1.0,2025-08-14,15,0.05
NIFTY,2028-12-26,20000.0,CE,8559.3,0,0,0,2025-08-14,1230,0,1,2025-08-14,2028-12-26,24631.30078125,,0.00048543816407109475,,,,0.1692715853540051,0.930069671164071,1.7535196203675737e-05,-1013.3846273838271,60.643502088102494,483.2281449498949,True,60.0,,,,,pending,1.0,2025-08-14,16,0.05
NIFTY,2028-06-27,29000.0,CE,2791.35,0,0,0,2025-08-14,1048,0,1,2025-08-14,2028-06-27,24631.30078125,,0.00048543816407109475,,,,0.162299308469005,0.5673977818936178,5.807151972407629e-05,-1135.0898580172088,164.06865361065726,320.9108549758315,True,60.0,,,,,pending,1.0,2025-08-14,17,0.05
