SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,SETTLE_PR,OPEN_INT,CHG_IN_OI,VOLUME,TRADE_DATE,UNDERLYING_PRICE,HIGH_PRICE,LOW_PRICE,OPEN_PRICE,CLOSE_PRICE,LAST_PRICE
NIFTY,28-08-2025,23150.0,PE,8.7,27150,4800,324,14-08-2025,24631.3,10.5,7.5,10.5,8.7,8.2
NIFTY,21-08-2025,26850.0,PE,2187.9,225,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2294.2,2294.2
NIFTY,21-08-2025,26800.0,PE,2119.85,5700,5475,76,14-08-2025,24631.3,2123.4,2116.7,2120.0,2119.85,2123.4
NIFTY,21-08-2025,26000.0,PE,1332.95,63075,28575,439,14-08-2025,24631.3,1360.0,1295.2,1315.2,1332.95,1345.0
NIFTY,21-08-2025,25200.0,PE,548.1,161025,65025,1756,14-08-2025,24631.3,567.0,500.0,529.95,548.1,559.65
NIFTY,21-08-2025,24900.0,PE,289.7,523125,294825,18833,14-08-2025,24631.3,310.0,252.0,288.95,289.7,298.6
NIFTY,21-08-2025,24450.0,PE,65.0,835950,339000,76926,14-08-2025,24631.3,73.1,53.85,65.0,65.0,69.9
NIFTY,21-08-2025,24350.0,PE,44.75,773025,382125,63758,14-08-2025,24631.3,50.45,36.5,45.2,44.75,47.25
NIFTY,21-08-2025,24200.0,PE,26.55,2196825,574125,105953,14-08-2025,24631.3,29.7,21.5,26.55,26.55,28.8
NIFTY,21-08-2025,24150.0,PE,22.45,452475,168075,37016,14-08-2025,24631.3,25.1,18.3,22.5,22.45,23.9
NIFTY,21-08-2025,23500.0,PE,4.55,3829425,2026275,101983,14-08-2025,24631.3,5.6,4.3,5.6,4.55,4.6
NIFTY,21-08-2025,22850.0,PE,1.95,43875,17625,1562,14-08-2025,24631.3,3.25,1.8,2.1,1.95,2.0
NIFTY,14-08-2025,26550.0,PE,24631.3,225,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1904.3,1870.0
NIFTY,14-08-2025,25950.0,PE,24631.3,1275,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1509.9,1509.9
NIFTY,14-08-2025,25700.0,PE,24631.3,11025,-7125,172,14-08-2025,24631.3,1092.35,1028.0,1056.25,1070.35,1070.25
NIFTY,14-08-2025,25050.0,PE,24631.3,14025,-5325,2946,14-08-2025,24631.3,453.7,369.15,400.0,412.55,418.2
NIFTY,14-08-2025,24750.0,PE,24631.3,779250,-192900,1756152,14-08-2025,24631.3,159.0,0.05,0.05,112.85,118.75
NIFTY,14-08-2025,24600.0,PE,24631.3,24342075,9027525,31993032,14-08-2025,24631.3,47.2,0.05,36.2,0.7,0.05
NIFTY,25-06-2030,22000.0,CE,8710.1,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,9790.15,0.0
NIFTY,26-12-2028,29000.0,CE,3358.6,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,3645.75,0.0
NIFTY,26-12-2028,21000.0,CE,7843.0,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,7512.5,0.0
NIFTY,26-12-2028,20000.0,CE,8559.3,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,8115.5,0.0
NIFTY,27-06-2028,29000.0,CE,2791.35,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2333.25,0.0
NIFTY,27-06-2028,23000.0,CE,5921.6,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,4323.1,0.0
NIFTY,29-06-2027,19000.0,CE,7764.7,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,7800.0,7800.0
NIFTY,29-12-2026,28000.0,CE,1379.4,16800,300,10,14-08-2025,24631.3,998.0,920.0,998.0,931.1,931.1
NIFTY,30-06-2026,31000.0,CE,237.8,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,507.8,0.0
NIFTY,31-03-2026,28000.0,CE,461.4,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,634.25,0.0
NIFTY,31-03-2026,24000.0,CE,1935.4,14550,600,63,14-08-2025,24631.3,1954.65,1904.25,1954.65,1935.4,1920.0
NIFTY,30-12-2025,17000.0,CE,8018.9,700,0,0,14-08-2025,24631.3,0.0,0.0,0.0,7010.0,7010.0
NIFTY,28-10-2025,26450.0,CE,218.4,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,324.1,0.0
NIFTY,28-10-2025,25100.0,CE,423.05,9225,75,8,14-08-2025,24631.3,441.0,420.0,438.05,423.05,420.0
NIFTY,28-10-2025,25000.0,CE,474.6,254925,-1875,1234,14-08-2025,24631.3,500.6,464.8,487.15,474.6,469.45
NIFTY,28-10-2025,24050.0,CE,1227.4,1950,0,0,14-08-2025,24631.3,0.0,0.0,0.0,992.55,992.55
NIFTY,28-10-2025,23850.0,CE,1365.5,1050,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1245.0,1245.0
NIFTY,28-10-2025,23650.0,CE,1511.65,750,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1321.45,1321.45
NIFTY,28-10-2025,23350.0,CE,1743.7,150,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1477.15,1477.15
NIFTY,30-09-2025,27050.0,CE,44.2,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,441.3,0.0
NIFTY,30-09-2025,26850.0,CE,14.3,45900,-750,82,14-08-2025,24631.3,17.1,13.0,16.5,14.3,13.0
NIFTY,30-09-2025,26150.0,CE,41.45,8850,-975,59,14-08-2025,24631.3,43.45,39.75,42.0,41.45,41.45
NIFTY,30-09-2025,25900.0,CE,62.05,210975,3900,878,14-08-2025,24631.3,68.75,60.2,64.05,62.05,60.2
NIFTY,30-09-2025,24150.0,CE,955.25,1275,0,0,14-08-2025,24631.3,0.0,0.0,0.0,873.85,873.85
NIFTY,30-09-2025,24050.0,CE,1023.4,1050,0,0,14-08-2025,24631.3,0.0,0.0,0.0,830.9,830.9
NIFTY,30-09-2025,23900.0,CE,1131.4,8100,0,1,14-08-2025,24631.3,1060.0,1060.0,1060.0,1060.0,1060.0
NIFTY,30-09-2025,23200.0,CE,1693.4,1350,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1604.75,1604.75
NIFTY,30-09-2025,22750.0,CE,2097.55,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,3197.65,0.0
NIFTY,09-09-2025,26300.0,CE,8.35,2700,1125,20,14-08-2025,24631.3,10.9,7.15,8.6,8.35,7.15
NIFTY,09-09-2025,26100.0,CE,54.35,225,0,0,14-08-2025,24631.3,0.0,0.0,0.0,9.85,9.85
NIFTY,09-09-2025,25800.0,CE,92.5,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,127.4,0.0
NIFTY,09-09-2025,24500.0,CE,428.55,22425,4650,165,14-08-2025,24631.3,456.45,412.3,450.0,428.55,423.75
NIFTY,09-09-2025,24400.0,CE,495.5,2400,-225,11,14-08-2025,24631.3,510.75,490.65,509.55,495.5,490.65
NIFTY,09-09-2025,24200.0,CE,736.25,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,779.7,0.0
NIFTY,09-09-2025,23700.0,CE,1118.15,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1146.9,0.0
NIFTY,09-09-2025,23150.0,CE,1606.6,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1618.45,0.0
NIFTY,09-09-2025,22900.0,CE,1843.2,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1848.9,0.0
NIFTY,09-09-2025,22750.0,CE,1987.8,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1990.5,0.0
NIFTY,02-09-2025,25400.0,CE,37.4,32625,5775,634,14-08-2025,24631.3,43.1,35.9,42.0,37.4,37.35
NIFTY,02-09-2025,25250.0,CE,155.15,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,529.95,0.0
NIFTY,02-09-2025,24900.0,CE,149.45,32100,10200,524,14-08-2025,24631.3,176.0,144.0,159.45,149.45,145.0
NIFTY,02-09-2025,24750.0,CE,219.25,7275,3450,146,14-08-2025,24631.3,250.4,213.0,235.05,219.25,213.6
NIFTY,02-09-2025,23500.0,CE,1238.9,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1776.5,0.0
NIFTY,02-09-2025,22850.0,CE,1857.5,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2381.45,0.0
NIFTY,28-08-2025,27350.0,CE,1.65,12825,3300,109,14-08-2025,24631.3,2.2,1.4,1.6,1.65,1.4
NIFTY,28-08-2025,27000.0,CE,1.55,1117575,-23475,2332,14-08-2025,24631.3,2.0,1.4,2.0,1.55,1.7
NIFTY,28-08-2025,25650.0,CE,9.6,279900,76575,2555,14-08-2025,24631.3,11.2,9.1,9.75,9.6,9.1
NIFTY,28-08-2025,24450.0,CE,349.85,114600,-3150,660,14-08-2025,24631.3,393.55,334.9,369.0,349.85,342.8
NIFTY,28-08-2025,24400.0,CE,387.05,452775,23175,7156,14-08-2025,24631.3,434.0,368.1,410.3,387.05,381.0
NIFTY,21-08-2025,26700.0,CE,0.8,24375,9825,849,14-08-2025,24631.3,0.95,0.7,0.9,0.8,0.8
NIFTY,21-08-2025,26600.0,CE,0.8,40500,30000,1427,14-08-2025,24631.3,0.95,0.7,0.95,0.8,0.8
NIFTY,21-08-2025,26400.0,CE,0.9,807075,660150,15882,14-08-2025,24631.3,1.05,0.8,0.9,0.9,0.9
NIFTY,21-08-2025,23200.0,CE,1458.45,675,0,2,14-08-2025,24631.3,1480.0,1480.0,1480.0,1480.0,1480.0
NIFTY,21-08-2025,23150.0,CE,1508.25,1050,525,7,14-08-2025,24631.3,1505.0,1505.0,1505.0,1505.0,1505.0
NIFTY,14-08-2025,26950.0,CE,24631.3,108075,47175,5992,14-08-2025,24631.3,0.3,0.05,0.3,0.05,0.05
NIFTY,14-08-2025,26750.0,CE,24631.3,76425,30300,5575,14-08-2025,24631.3,0.35,0.05,0.35,0.1,0.05
NIFTY,14-08-2025,26000.0,CE,24631.3,2578050,-1093500,266155,14-08-2025,24631.3,0.45,0.05,0.35,0.05,0.05
NIFTY,28-10-2025,24950.0,CE,500.8,1950,150,7,14-08-2025,24631.3,502.0,500.2,501.9,500.8,500.2
NIFTY,28-10-2025,24500.0,CE,756.65,109350,-1200,190,14-08-2025,24631.3,799.3,751.0,781.1,756.65,756.0
NIFTY,28-10-2025,24250.0,CE,1097.35,1125,0,0,14-08-2025,24631.3,0.0,0.0,0.0,915.0,915.0
NIFTY,28-10-2025,23550.0,CE,1587.3,450,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1376.65,1376.65
NIFTY,28-10-2025,23100.0,CE,1948.0,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1834.75,1834.75
NIFTY,28-10-2025,23050.0,CE,1989.95,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1879.4,1879.4
NIFTY,28-10-2025,23000.0,CE,1963.7,6300,1125,16,14-08-2025,24631.3,1971.8,1960.0,1970.0,1963.7,1960.0
NIFTY,30-09-2025,27000.0,CE,12.65,1342875,10275,2642,14-08-2025,24631.3,13.85,12.25,13.15,12.65,12.65
NIFTY,30-09-2025,26800.0,CE,62.85,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,518.95,0.0
NIFTY,30-09-2025,26200.0,CE,35.95,225600,3525,1801,14-08-2025,24631.3,39.55,34.5,38.0,35.95,35.35
NIFTY,30-09-2025,25950.0,CE,58.1,42150,900,30,14-08-2025,24631.3,62.85,57.6,60.15,58.1,58.3
NIFTY,30-09-2025,25750.0,CE,82.8,20775,900,64,14-08-2025,24631.3,89.75,80.4,83.0,82.8,80.4
NIFTY,30-09-2025,24950.0,CE,329.75,28425,2925,147,14-08-2025,24631.3,350.75,321.65,332.25,329.75,324.75
NIFTY,30-09-2025,24500.0,CE,587.2,813300,10500,4213,14-08-2025,24631.3,625.5,569.35,610.0,587.2,581.8
NIFTY,30-09-2025,24250.0,CE,889.65,3075,0,0,14-08-2025,24631.3,0.0,0.0,0.0,782.15,782.5
NIFTY,30-09-2025,24200.0,CE,791.4,14850,1425,74,14-08-2025,24631.3,837.75,786.85,800.0,791.4,786.85
NIFTY,30-09-2025,24100.0,CE,989.0,6450,1425,24,14-08-2025,24631.3,895.0,875.0,882.1,875.0,875.0
NIFTY,30-09-2025,23500.0,CE,1383.15,44175,5100,131,14-08-2025,24631.3,1412.0,1364.4,1386.0,1383.15,1380.05
NIFTY,30-09-2025,23350.0,CE,1565.05,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1469.4,1469.4
NIFTY,30-09-2025,23100.0,CE,1780.95,225,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1631.1,1631.1
NIFTY,09-09-2025,25050.0,CE,284.9,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,334.9,0.0
NIFTY,09-09-2025,24850.0,CE,367.0,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,418.15,0.0
NIFTY,09-09-2025,24700.0,CE,305.35,10125,6600,134,14-08-2025,24631.3,343.85,294.75,318.05,305.35,300.45
NIFTY,09-09-2025,24450.0,CE,575.85,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,426.55,426.55
NIFTY,02-09-2025,26800.0,CE,3.8,22275,2850,95,14-08-2025,24631.3,3.85,3.0,3.3,3.8,3.85
NIFTY,02-09-2025,26350.0,CE,14.75,1500,0,0,14-08-2025,24631.3,0.0,0.0,0.0,5.4,5.4
NIFTY,02-09-2025,25000.0,CE,114.75,175275,80475,3568,14-08-2025,24631.3,136.0,110.15,129.2,114.75,116.0
NIFTY,02-09-2025,24400.0,CE,437.45,23475,4425,167,14-08-2025,24631.3,471.25,426.0,450.0,437.45,432.85
NIFTY,02-09-2025,23750.0,CE,1018.2,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1557.3,0.0
NIFTY,02-09-2025,23400.0,CE,1330.7,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1866.65,0.0
NIFTY,02-09-2025,23250.0,CE,1471.2,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2004.2,0.0
NIFTY,02-09-2025,23150.0,CE,1566.5,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2097.2,0.0
NIFTY,28-08-2025,26250.0,CE,3.15,25725,-525,57,14-08-2025,24631.3,3.65,2.8,3.2,3.15,3.1
NIFTY,28-08-2025,25700.0,CE,8.45,637725,-62475,9375,14-08-2025,24631.3,9.9,7.25,9.0,8.45,8.05
